Text,Name,Gender
"Joe Biden’s response to the H1N1 Swine Flu, far less lethal than Covid 19, was one of the weakest and worst in the history of fighting epidemics and pandemics. It was pathetic, those involved have said. Joe didn’t have a clue!",Donald Trump,Male
".@SeanParnellUSA is a bright star for Pennsylvania. Military, Vets, Low Taxes and your 2nd Amendment will be totally protected. His opponent is a weak and ineffective puppet for Pelosi and her new Radical Left friends. Vote for Sean Parnell!",Donald Trump,Male
"So important to VOTE for Republicans in the House. Break away from Pelosi and her high Taxing new Radical Left friends. Protect your 2nd Amendment, Military, Vets, and sooo much more!",Donald Trump,Male
"Pennsylvania Ballot “mistakes” made, in my opinion, on purpose by the Democrat Governor, puts Republicans, in particular @SeanParnellUSA, at great risk. Corrupt politics in Pennsylvania must be investigated immediately. By the way, Philadelphia is out of control. @TheJusticeDept",Donald Trump,Male
"Have a GREAT “MAGA-GRAS” Rally today on our wonderful Long Island. Cut Taxes, Stop Crime, VOTE FOR TRUMP. Our City and State are a MESS. What do you have to lose? Thank you!!!",Donald Trump,Male
"Congratulations to @SenRonJohnson for his dogged pursuit, as Chairman of Homeland, of POLITICAL CORRUPTION!",Donald Trump,Male
"THANK YOU NEW HAMPSHIRE!
https://t.co/XEoCm4v1M5",Donald Trump,Male
Amazing! https://t.co/jQXxeQlovz,Donald Trump,Male
Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews Wisconsin would be badly hurt because Biden would definitely end Fracking. No more Sand Mine usage!,Donald Trump,Male
https://t.co/gsFSgh2KPc https://t.co/KTe3etEKhs,Donald Trump,Male
https://t.co/gjBMFDbUps,Donald Trump,Male
"THANK YOU MAINE! #MAGA
https://t.co/bE4MhH23o9",Donald Trump,Male
https://t.co/GiekCMY3tY,Donald Trump,Male
Thank you Rabbis! https://t.co/Lwo07ggfuc,Donald Trump,Male
"Congratulations to Armenian Prime Minister Nikol Pashinyan and Azerbaijani President Ilham Aliyev, who just agreed to adhere to a cease fire effective at midnight. Many lives will be saved. Proud of my team @SecPompeo &amp; Steve Biegun &amp; @WHNSC for getting the deal done!",Donald Trump,Male
Great people. Vote for Trump! https://t.co/ngDGgKuzOo,Donald Trump,Male
"Biden dumped New Hampshire in the Dem Primaries, left early. I had my first big victory there - Do it again! https://t.co/7LzwR4Ot9W",Donald Trump,Male
In honor of Maine! https://t.co/cR5fdwgSDh,Donald Trump,Male
Suburban women are STRONG for President Trump. Watch this @60Minutes clip! https://t.co/DL38a1qUAz,Donald Trump,Male
"Texas, Pennsylvania, Ohio, and others, please watch. His party, and Joe, will stop Fracking immediately. Millions of jobs lost as energy prices soar. Vote Trump! https://t.co/YHQyvfetSp",Donald Trump,Male
"Biden made another big mistake. He totally mixed up two Crime Bills. Didn’t have a clue (as usual!). Also, he freely used the term SUPER PREDATOR!!!",Donald Trump,Male
https://t.co/10v8v4mVgO,Donald Trump,Male
"There is a nasty rumor out there that @SenatorCollins of Maine will not be supporting our great United States Supreme Court Nominee. Well, she didn’t support Healthcare or my opening up 5000 square miles of Ocean to Maine, so why should this be any different. Not worth the work!",Donald Trump,Male
"Big T was not a reference to me, but rather to Big Tech, which should have been properly pointed out in Twitter’s Fake Trending Section!",Donald Trump,Male
"Steve Scully of @cspan had a very bad week. When his name was announced, I said he would not be appropriate because of conflicts. I was right! Then he said he was hacked, he wasn’t. I was right again! But his biggest mistake was “confiding” in a lowlife loser like the Mooch. Sad!",Donald Trump,Male
Very good reviews on last night’s @NBCNews Town Hall in Miami. Thank you!!!,Donald Trump,Male
"Polls numbers are looking very strong. Big crowds, great enthusiasm. Massive RED WAVE coming!!!",Donald Trump,Male
Biden lied Pennsylvania! https://t.co/zmD8Ew0bmS,Donald Trump,Male
Thank you! https://t.co/ceq1n14MYa,Donald Trump,Male
"Thank you LIBERTARIANS. We are getting it all done, and FAST! VOTE TRUMP!!! https://t.co/ai2vTb1V3G",Donald Trump,Male
The process has long begun. Happening fast! https://t.co/nLLq7x0Bim,Donald Trump,Male
Great! https://t.co/1CoWvrMkN2,Donald Trump,Male
"Sleepy Joe Biden had a very bad showing last night, despite the fact that @GStephanopoulos didn’t ask him any questions on his being a “corrupt politician”. Big Tech &amp; Lamestream Media are working hard to hide this corruption!!!",Donald Trump,Male
"Ammar is a puppet for Nancy Pelosi and the Radical Left. He spells higher taxes, weak Military and Vet support, and the obliteration of your 2nd Amendment. Vote Darrell Issa! https://t.co/0nwCTVWPh3",Donald Trump,Male
Darrell is great. He has my Complete and Total Endorsement. He will Never let you down. WARRIOR!!!! https://t.co/FB0KIHKssM,Donald Trump,Male
"Jason wrote a new book. It is fantastic. Order it Now, make Jason #1- He deserves it!!! https://t.co/QCVYploON2",Donald Trump,Male
Thank you! https://t.co/XIEd0dSEvA,Donald Trump,Male
"Twitter Shuts Down Entire Network To Slow Spread Of Negative Biden News https://t.co/JPmjOrKPcr via @TheBabylonBee Wow, this has never been done in history. This includes his really bad interview last night. Why is Twitter doing this. Bringing more attention to Sleepy Joe &amp; Big T",Donald Trump,Male
OBAMAGATE!,Donald Trump,Male
“A Pennsylvania Appeals Court turns down the Trump Administrations request for Poll Watchers to monitor satellite election offices.” @OANN  How terrible is this? We are just seeking a fair vote count. This can only lead to very bad things. Bad intentions much??? Disgraceful!!!,Donald Trump,Male
$13.9M is heading to New Orleans in @USDOT funding for @NewOrleansRTA! Happy to support bus service and major fleet improvements for the great people of Louisiana and help them keep moving safely.,Donald Trump,Male
"Just don’t see any way Nancy Pelosi and Cryin’ Chuck Schumer will be willing to do what is right for our great American workers, or our wonderful USA itself, on Stimulus. Their primary focus is BAILING OUT poorly run (and high crime) Democrat cities and states....",Donald Trump,Male
".@JimOberweis will be a terrific Congressman for Illinois! A successful businessman, he will Create Jobs, Lower Taxes, Defend Law &amp; Order, and Protect your Second Amendment from the Radical Left. Jim has my Complete and Total Endorsement! #IL14 https://t.co/lb5qk4KaNF",Donald Trump,Male
"Eric Esshaki (@EsshakiCongress) will be a tremendous advocate for Michigan and the first Chaldean in Congress! He will help us Lower your Taxes, Defend your Second Amendment and Deliver Great Healthcare. Eric has my Complete and Total Endorsement! #MI11 https://t.co/nxDv26UfZp",Donald Trump,Male
Tonight at 9:00 P.M. Enjoy! https://t.co/wM3HgXNzQm,Donald Trump,Male
"...P.S. Tony should stop wearing the Washington Nationals’ Mask for two reasons. Number one, it is not up to the high standards that he should be exposing. Number two, it keeps reminding me that Tony threw out perhaps the worst first pitch in the history of Baseball!",Donald Trump,Male
"Dr.Tony Fauci says we don’t allow him to do television, and yet I saw him last night on @60Minutes, and he seems to get more airtime than anybody since the late, great, Bob Hope. All I ask of Tony is that he make better decisions. He said “no masks &amp; let China in”. Also, Bad arm!",Donald Trump,Male
"GREAT news! New government of Sudan, which is making great progress, agreed to pay $335 MILLION to U.S. terror victims and families. Once deposited, I will lift Sudan from the State Sponsors of Terrorism list. At long last, JUSTICE for the American people and BIG step for Sudan!",Donald Trump,Male
Heading for Arizona. See you soon!,Donald Trump,Male
"Last week, Joe Biden made perhaps the most shocking admission ever uttered in the history of presidential debates. On live television, Joe Biden confirmed his plan to ABOLISH the entire U.S. Oil Industry—that means NO fracking, NO jobs, and NO energy for Pennsylvania Families!",Donald Trump,Male
"....There has never been more enthusiasm or spirit, by everyone. Great fun, and so good for our Country. Already winning many states, but not reported. Biden put the LID on again - raising money with promises. They finally caught him, COLD, and he knows it. Laptop is devastating!",Donald Trump,Male
@maggieNYT  There has never been a time in either of my two Campaigns when I felt we had a stronger chance of winning than we do right now. Early voting reports look far stronger than originally anticipated. Every RALLY is BOFFO. @MarkMeadows &amp; team are doing a fantastic job....,Donald Trump,Male
Happening all over USA. No wonder California is never in play for Republicans. Rigged Election! https://t.co/aBFIEYy0Kn,Donald Trump,Male
"Vote Trump to save your Second Amendment, Virginia! https://t.co/IQkCo67DXH",Donald Trump,Male
"WSJ Editorial Board: Joe Biden Must Answer Questions About Hunter Biden and China https://t.co/pF2M9i9OSu via @BreitbartNews Joe Biden is a totally corrupt politician, and got caught. At least now he won’t be able to raise your Taxes - Biggest increase in U.S. history!",Donald Trump,Male
"Biden Sought ‘Grand Bargain’ to Reduce Deficit Through Cuts to Social Security https://t.co/lpy2GGf8Sv via @BreitbartNews Joe Biden pushed hard to CUT YOUR SOCIAL SECURITY. If elected, he will do it again. I won’t, never!!!",Donald Trump,Male
https://t.co/UBqPJTpGH1,Donald Trump,Male
"THANK YOU PENNSYLVANIA!
https://t.co/OirJvLcxBu",Donald Trump,Male
Will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!,Donald Trump,Male
"THANK YOU TUCSON, ARIZONA! Together, we are going to MAKE AMERICA GREAT AGAIN!! https://t.co/GYB2zG0f4H",Donald Trump,Male
Heading for Tucson. See you in a little while. Winning Arizona!,Donald Trump,Male
"THANK YOU ARIZONA! Together, we are going to MAKE AMERICA GREAT AGAIN! https://t.co/gsFSgh2KPc https://t.co/2yEtEevzh0",Donald Trump,Male
"Just arriving in Prescott, what a crowd! I love Arizona!! https://t.co/qssvOznppz",Donald Trump,Male
A perfect strike for the American people! https://t.co/LqqvhWpqis,Donald Trump,Male
"....Washington wants nothing to do with him, and that’s so bad for New York, which has become a ghost town. Andrew spends too much time listening to his brother, Fredo. Forget the books and your apology tour. The Federal Government would love to help New York regain its luster!",Donald Trump,Male
"Governor Cuomo has shown tremendously poor leadership skills in running N.Y. Bad time for him to be writing and promoting a book, especially since he has done such a poor job with Covid and Crime. So many unnecessary deaths. The City &amp; State have sunk to historic lows...",Donald Trump,Male
Multiple Pro-Trump Demonstrations Planned in Cincinnati Area https://t.co/jjMeB9Hba0 via @BreitbartNews,Donald Trump,Male
Pennsylvania Trump Voters Show Passion: ‘He‘s a Man that Wants to Do It All for America‘ https://t.co/1oYXtzAyhT via @BreitbartNews,Donald Trump,Male
"Congressman Darin LaHood (@ElectLaHood) is a fighter for Illinois! A strong supporter of our #MAGA agenda, he is helping us Drain the Swamp, Deliver for our Farmers, and Defend your Second Amendment. Darin has my Complete and Total Endorsement! #IL18 https://t.co/IDHISoPgSX",Donald Trump,Male
"Congressman Ken Buck (@BuckForColorado) is a champion for the incredible People of Colorado! He is Strong on Law &amp; Order, Low Taxes, Border Security, our Military &amp; Vets, and he will always defend your Second Amendment. Ken has my Complete and Total Endorsement! #CO04",Donald Trump,Male
"Senator @CindyHydeSmith delivers for Mississippi! She helped us Cut your Taxes, Secure our Border, and Defend the Second Amendment. Cindy's opponent, Mike Espy, is a Corrupt Politician who will Raise your Taxes and Open your Borders! Vote for Cindy! #MSSEN https://t.co/8YzRzj3ngC",Donald Trump,Male
...Everyone should compare this terrible Electoral Intrusion with the recent interviews of Sleepy Joe Biden!,Donald Trump,Male
Trump Predicts 35% Growth in Q3 -- ‘We‘re Coming Back Stronger‘ https://t.co/vpHoFoeYG0 via @BreitbartNews Would be biggest ever!,Donald Trump,Male
".@FoxNews Polls are totally FAKE, just like they were in 2016. I am leading in all of the states mentioned, which you will soon see. I thought Fox was getting rid of its pollster. Sadly, it never happened!",Donald Trump,Male
....to be around to vote for President Trump.” Over 300 wins and 2 National Championships. Thank you to Florida State for giving us Bobby Bowden!,Donald Trump,Male
"The GREAT Bobby Bowden, one of the best coaches EVER in College Football, on his full recovery from Covid-19 “....America is the greatest country this side of heaven. I’ve had a chance to get a lot of wins in my life, but I really wanted to win this one because I wanted....",Donald Trump,Male
Virginia! https://t.co/RNKJNCSkrZ,Donald Trump,Male
Presidential Promises Kept: Justice Barrett Will Fairly Apply and Honor the Law for Decades https://t.co/fgBFldfVlc via @BreitbartNews,Donald Trump,Male
My great honor! https://t.co/Ppcl3fHKKS,Donald Trump,Male
"Exclusive: Forgotten by Obama-Biden Auto Bailout, Delphi Workers Refuse to Forget What Was Taken from Them (Part One) https://t.co/T8SME62Vb4 via @BreitbartNews Biden was a disaster on this. All talk and no action. Remember and VOTE!",Donald Trump,Male
Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews,Donald Trump,Male
Pence: Voters Know Biden and Harris ‘Are Going to Pack the Court‘ https://t.co/GCJ8LSBvWm via @BreitbartNews. With the Radical Left. Can’t let this happen. VOTE!,Donald Trump,Male
Lesley Stahl of 60 Minutes not wearing a mask in the White House after her interview with me. Much more to come. https://t.co/0plZG6a4fH,Donald Trump,Male
"Quick stop in North Carolina with a wonderful Indian Tribe, and guests. Then off to two BIG Rallies in Ohio and Wisconsin. See you later!!!",Donald Trump,Male
"Trump: Biden Works for Big Tech, Big Media — They Keep Scandals Quiet https://t.co/GddS9YvM41 via @BreitbartNews",Donald Trump,Male
An Apprentice Champion. Check out his very interesting new book! https://t.co/oal3j9jar8,Donald Trump,Male
https://t.co/121KaqlSJQ,Donald Trump,Male
https://t.co/6bv45IRCye,Donald Trump,Male
"Thank you Martinsburg, Pennsylvania! #MAGA https://t.co/RddwLxMfxL https://t.co/w6dpfZbdYO",Donald Trump,Male
https://t.co/aax936uVzZ,Donald Trump,Male
Joe Biden called me George yesterday. Couldn’t remember my name. Got some help from the anchor to get him through the interview. The Fake News Cartel is working overtime to cover it up!,Donald Trump,Male
https://t.co/UPt8DZQC4N,Donald Trump,Male
https://t.co/JlSNwSv2zZ,Donald Trump,Male
"We have made tremendous progress with the China Virus, but the Fake News refuses to talk about it this close to the Election. COVID, COVID, COVID is being used by them, in total coordination, in order to change our great early election numbers.Should be an election law violation!",Donald Trump,Male
https://t.co/RjtXxzjuuo,Donald Trump,Male
Three BIG Rallies today. Heading to Pennsylvania. I have plenty to say about the dishonesty of the Media and Sleepy Joe. A terrible coverup is happening in our Country!!!,Donald Trump,Male
MAKE AMERICA GREAT AGAIN!,Donald Trump,Male
We are winning big on the voting numbers. Get out and Vote. Bigger than 2016!!!,Donald Trump,Male
https://t.co/nyajxA52Fs,Donald Trump,Male
"...Based on decisions being rendered now, this list is more important than ever before (Second Amendment, Right to Life, Religous Liberty, etc.) – VOTE 2020!",Donald Trump,Male
Big problems and discrepancies with Mail In Ballots all over the USA. Must have final total on November 3rd.,Donald Trump,Male
"Cases up because we TEST, TEST, TEST. A Fake News Media Conspiracy. Many young people who heal very fast. 99.9%. Corrupt Media conspiracy at all time high. On November 4th., topic will totally change. VOTE!",Donald Trump,Male
https://t.co/gsFSghkmdM https://t.co/zNoPFsTnn3,Donald Trump,Male
"The Fake News Media is riding COVID, COVID, COVID, all the way to the Election. Losers!",Donald Trump,Male
https://t.co/atXqNfBDMs,Donald Trump,Male
https://t.co/gsFSghkmdM https://t.co/CgDeqKDXGH,Donald Trump,Male
Thank you! #MAGA https://t.co/4hBUMgeAHi,Donald Trump,Male
"Thank you Allentown, Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! https://t.co/gsFSghkmdM https://t.co/aA0I8pBEGb https://t.co/ngUKFNhM0Q",Donald Trump,Male
https://t.co/UrqcisEJgE,Donald Trump,Male
"Played this video at today’s rally in Allentown, Pennsylvania—a must watch! https://t.co/BC2h4oZhQp",Donald Trump,Male
https://t.co/JRgOPXosfY,Donald Trump,Male
"No matter what you give to the Radical Left, Do Nothing Democrats, it will never be enough!",Donald Trump,Male
"Thank you Lititz, Pennsylvania! MAKE AMERICA GREAT AGAIN!! 
https://t.co/8o90JJBj3v",Donald Trump,Male
https://t.co/BC2h4oZhQp,Donald Trump,Male
https://t.co/gsFSgh2KPc,Donald Trump,Male
https://t.co/CCuTybUbqi,Donald Trump,Male
https://t.co/5FaguoWuHU,Donald Trump,Male
https://t.co/sFRCTwIwPm,Donald Trump,Male
https://t.co/bjC5XWlfOJ,Donald Trump,Male
https://t.co/Wv6WVH6US8,Donald Trump,Male
https://t.co/Kr5E8R90Ey,Donald Trump,Male
"He didn’t stick around for the primaries, either. He left WAY early https://t.co/dXBTtMP010",Donald Trump,Male
"New York, California, Illinois. People are FLEEING, Taxes and Crime are going through the roof. VOTE TRUMP, I will turn it around, and FAST!",Donald Trump,Male
Strongly Trending (Google) since immediately after the second debate is CAN I CHANGE MY VOTE? This refers changing it to me. The answer in most states is YES. Go do it. Most important Election of your life!,Donald Trump,Male
Biden’s Handler’s want to expand the Court. This would be very bad for the USA. On top of that they don’t want to provide a list of who would be chosen for the Court. MUST HAVE A LIST OF THESE RADICAL LEFT JUDGES!,Donald Trump,Male
I agree! https://t.co/HlcuuyhZtz,Donald Trump,Male
https://t.co/DuBjypMQJ2,Donald Trump,Male
Drudge is DOWN 61% since he went Liberal and/or Crazy.  Heading to oblivion! https://t.co/AD6Jcey7vW,Donald Trump,Male
Philadelpiha MUST HAVE POLLWATCHERS!,Donald Trump,Male
"ALL THE FAKE NEWS MEDIA WANTS TO TALK ABOUT IS COVID, COVID, COVID. ON NOVEMBER 4th, YOU WON’T BE HEARING SO MUCH ABOUT IT ANYMORE. WE ARE ROUNDING THE TURN!!!",Donald Trump,Male
https://t.co/2QQn6wHJYf,Donald Trump,Male
.@TheJusticeDept https://t.co/3yMKdapTt8,Donald Trump,Male
"The Real Polls are now saying that I am WINNING! Biggest (and most exciting) Rallies EVER. Rasmussen, 53% National. https://t.co/3KcpdwTmjv",Donald Trump,Male
ColdCaseJoe! https://t.co/4EWnS6fZcX,Donald Trump,Male
7 DAYS!!!,Donald Trump,Male
MAKE AMERICA GREAT AGAIN!,Donald Trump,Male
"BIG VICTORY for patients – Federal court UPHOLDS hospital price transparency. Patients deserve to know the price of care BEFORE they enter the hospital. Because of my action, they will. This may very well be bigger than healthcare itself. Congratulations America!",Donald Trump,Male
Thank you Harry! https://t.co/vu7aASOYrX,Donald Trump,Male
"Rushing him out of basement after seeing some very disturbing numbers. Don’t worry, he’ll go back to basement soon! https://t.co/CEMq5xowQt",Donald Trump,Male
Sleepy Eyes fails again! https://t.co/MC7KSBo4Cd,Donald Trump,Male
HAPPY EASTER!,Donald Trump,Male
Let New York’s Finest finally do their job! https://t.co/XqURHZxCxP,Donald Trump,Male
"Rose is a disaster for New York. Not listened to, or respected, in Washington. A puppet for Pelosi! https://t.co/lvs7UnC2bI",Donald Trump,Male
"Much more “disinformation” coming out of CNN, MSDNC, @nytimes and @washingtonpost, by far, than coming out of any foreign country, even combined. Fake News is the Enemy of the People!",Donald Trump,Male
WATCH THE BALLOTS!!!,Donald Trump,Male
Claudia Tenney is GREAT. Loves New York &amp; USA. She has my Full &amp; Complete Endorsement! VOTE https://t.co/30sGVdMDLu,Donald Trump,Male
https://t.co/4JIZoFZAl4,Donald Trump,Male
NEW RECORD FOR NASDAQ!,Donald Trump,Male
So great for the World! https://t.co/pIyO55TEA8,Donald Trump,Male
"Great story. Thank you to Mr. Young of Jonesboro, Arkansas! https://t.co/i9xH8VXfS2",Donald Trump,Male
Thank you to the most incredible people on earth. I stand with you 100%. Get that great Officer back to work! https://t.co/nMH3MlBCqU,Donald Trump,Male
To beautiful Staten Island and Brooklyn. Nicole has my Complete and Total Endorsement. VOTE! https://t.co/HKxs7Pavgj,Donald Trump,Male
New York. Vote for Trump. What (the Hell!) do you have to lose? https://t.co/XqURHZxCxP,Donald Trump,Male
Great book! https://t.co/H6J5JLW1mF,Donald Trump,Male
https://t.co/hOFQEf1hUM,Donald Trump,Male
"A giant SCAM, and the Dems know it! https://t.co/ENqhp7TfXL",Donald Trump,Male
"Crazy Bernie Sanders is not a fighter. He gives up too easy! The Dem establishment gets Alfred E. Newman (Mayor Pete) &amp; @amyklobuchar to quit &amp; endorse Sleepy Joe BEFORE Super Tuesday, &amp; gets Pocahontas to stay in the race, taking thousands of votes from Bernie. He would have....",Donald Trump,Male
"When are the thugs, looters, and anarchists moving out of the so-called “Autonomous Zone” in Seattle? Get going!",Donald Trump,Male
Vote! https://t.co/pLVMieeGAn,Donald Trump,Male
Vote! https://t.co/naCPEzQRMt,Donald Trump,Male
https://t.co/eXpCUQDwU5,Donald Trump,Male
"Three BIG Rallies today. Lansing, Michigan. West Salem, Wisconsin. Omaha, Nebraska. We are winning all over the place. See you later!!!",Donald Trump,Male
"Corrupt Joe Biden and the Democrats don’t want to open schools in the Fall for political reasons, not for health reasons! They think it will help them in November. Wrong, the people get it!",Donald Trump,Male
"Until November 4th., Fake News Media is going full on Covid, Covid, Covid. We are rounding the turn. 99.9%.",Donald Trump,Male
https://t.co/Dc5QLivHWH,Donald Trump,Male
LAW &amp; ORDER!,Donald Trump,Male
"Big GDP projected. Pelosi only looking to Bail Out badly run Democrat Cities. Tap, Tap, Taping us along. She has little interest in helping out the “people”.",Donald Trump,Male
3% up in Pennsylvania!,Donald Trump,Male
https://t.co/gsFSghkmdM https://t.co/ao85KjMeBW,Donald Trump,Male
Thank you very much to the great @WashTimes for the wonderful Endorsement of the job I have done as President. “His record of achievement in his first term is unmatched by any president in modern times. A second term is likely to bring more successes and a stronger America.”,Donald Trump,Male
"Death rate of people going into hospitals is MUCH LOWER now than it was. @MSNBC  Wow, MSDNC has come a long way! The fact is that we have learned and done a lot about this Virus. Much different now than when it first arrived on our shores, and the World’s, from China!",Donald Trump,Male
Obama is drawing VERY small (tiny) numbers of people. Biden is drawing almost no one. We are drawing tens of thousands of people. You’ll see that again today. The Great Red Wave is coming!!!,Donald Trump,Male
"The biggest difference between now and 2016 is @FoxNews. They are a whole different deal. Despite this, our campaign is doing much better, with bigger crowds and even more (much!) enthusiasm, than we had in 2016. Big Debate &amp; SCOTUS Win! Real Polls have us winning everywhere!",Donald Trump,Male
Thank you to the Boston Herald. A great honor! https://t.co/Wlzcgc9eDo,Donald Trump,Male
They (his handlers) ripped Sleepy Joe off the stage yesterday when he got lost in a “mental fog”. A disaster. Very little reporting on this!,Donald Trump,Male
"Thank you Michigan—leaving the White House shortly, see you soon! https://t.co/I6VHSgKMSB",Donald Trump,Male
